,x,y,timestamp,pre_x,pre_y,class,class_line,stroke_id,word_id,line_id
0,227.703125,1008.97155762,1502225434.3,227.515625,1008.97155762,1,1,1,63,13
1,227.84375,1008.24206543,1502225434.31,227.703125,1008.97155762,1,1,1,63,13
2,227.90625,1007.57507324,1502225434.31,227.84375,1008.24206543,1,1,1,63,13
3,227.96875,1006.97058105,1502225434.31,227.90625,1007.57507324,1,1,1,63,13
4,227.96875,1006.44952393,1502225434.32,227.96875,1006.97058105,1,1,1,63,13
5,227.96875,1005.9284668,1502225434.32,227.96875,1006.44952393,1,1,1,63,13
6,227.96875,1005.44903564,1502225434.33,227.96875,1005.9284668,1,1,1,63,13
7,227.96875,1004.80285645,1502225434.33,227.96875,1005.44903564,1,1,1,63,13
8,227.96875,1004.19842529,1502225434.33,227.96875,1004.80285645,1,1,1,63,13
9,227.96875,1003.67736816,1502225434.34,227.96875,1004.19842529,1,1,1,63,13
10,227.96875,1003.19793701,1502225434.34,227.96875,1003.67736816,1,1,1,63,13
11,227.96875,1002.73937988,1502225434.35,227.96875,1003.19793701,1,1,1,63,13
12,227.96875,1002.40588379,1502225434.35,227.96875,1002.73937988,1,1,1,63,13
13,227.84375,1002.0723877,1502225434.36,227.96875,1002.40588379,1,1,1,63,13
14,227.515625,1001.82226562,1502225434.36,227.84375,1002.0723877,1,1,1,63,13
15,226.90625,1001.6763916,1502225434.36,227.515625,1001.82226562,1,1,1,63,13
16,226.1875,1001.6763916,1502225434.37,226.90625,1001.6763916,1,1,1,63,13
17,225.0625,1001.6763916,1502225434.37,226.1875,1001.6763916,1,1,1,63,13
18,223.734375,1002.0723877,1502225434.38,225.0625,1001.6763916,1,1,1,63,13
19,222.0,1002.86444092,1502225434.38,223.734375,1002.0723877,1,1,1,63,13
20,220.34375,1003.80236816,1502225434.38,222.0,1002.86444092,1,1,1,63,13
21,218.09375,1005.11553955,1502225434.39,220.34375,1003.80236816,1,1,1,63,13
22,216.234375,1006.44952393,1502225434.39,218.09375,1005.11553955,1,1,1,63,13
23,214.375,1008.03363037,1502225434.4,216.234375,1006.44952393,1,1,1,63,13
24,213.046875,1009.43017578,1502225434.4,214.375,1008.03363037,1,1,1,63,13
25,211.578125,1011.28521729,1502225434.41,213.046875,1009.43017578,1,1,1,63,13
26,210.265625,1013.32788086,1502225434.41,211.578125,1011.28521729,1,1,1,63,13
27,209.203125,1015.45391846,1502225434.41,210.265625,1013.32788086,1,1,1,63,13
28,208.46875,1017.18395996,1502225434.42,209.203125,1015.45391846,1,1,1,63,13
29,207.671875,1019.76855469,1502225434.42,208.46875,1017.18395996,1,1,1,63,13
30,207.078125,1021.9362793,1502225434.43,207.671875,1019.76855469,1,1,1,63,13
31,206.546875,1024.45825195,1502225434.43,207.078125,1021.9362793,1,1,1,63,13
32,206.140625,1026.43847656,1502225434.43,206.546875,1024.45825195,1,1,1,63,13
33,205.75,1029.23144531,1502225434.44,206.140625,1026.43847656,1,1,1,63,13
34,205.484375,1031.60766602,1502225434.44,205.75,1029.23144531,1,1,1,63,13
35,205.21875,1034.06713867,1502225434.45,205.484375,1031.60766602,1,1,1,63,13
36,205.015625,1036.04736328,1502225434.45,205.21875,1034.06713867,1,1,1,63,13
37,204.953125,1038.36096191,1502225434.46,205.015625,1036.04736328,1,1,1,63,13
38,204.890625,1040.48693848,1502225434.46,204.953125,1038.36096191,1,1,1,63,13
39,204.890625,1042.61303711,1502225434.46,204.890625,1040.48693848,1,1,1,63,13
40,204.890625,1044.38476562,1502225434.47,204.890625,1042.61303711,1,1,1,63,13
41,204.890625,1046.38574219,1502225434.47,204.890625,1044.38476562,1,1,1,63,13
42,204.890625,1047.96972656,1502225434.48,204.890625,1046.38574219,1,1,1,63,13
43,204.890625,1049.42883301,1502225434.48,204.890625,1047.96972656,1,1,1,63,13
44,204.890625,1050.80444336,1502225434.48,204.890625,1049.42883301,1,1,1,63,13
45,204.890625,1052.2010498,1502225434.49,204.890625,1050.80444336,1,1,1,63,13
46,204.890625,1053.26403809,1502225434.49,204.890625,1052.2010498,1,1,1,63,13
47,204.890625,1054.11865234,1502225434.5,204.890625,1053.26403809,1,1,1,63,13
48,204.890625,1054.84814453,1502225434.5,204.890625,1054.11865234,1,1,1,63,13
49,204.890625,1055.39013672,1502225434.51,204.890625,1054.84814453,1,1,1,63,13
50,204.890625,1055.84863281,1502225434.51,204.890625,1055.39013672,1,1,1,63,13
51,204.890625,1056.11962891,1502225434.51,204.890625,1055.84863281,1,1,1,63,13
52,204.890625,1056.18212891,1502225434.52,204.890625,1056.11962891,1,1,1,63,13
53,205.15625,1056.18212891,1502225434.52,204.890625,1056.18212891,1,1,1,63,13
54,204.625,1035.65124512,1502225434.61,205.484375,1056.18212891,1,1,2,63,13
55,204.09375,1035.58874512,1502225434.62,204.625,1035.65124512,1,1,2,63,13
56,203.296875,1035.44287109,1502225434.62,204.09375,1035.58874512,1,1,2,63,13
57,202.625,1035.31774902,1502225434.63,203.296875,1035.44287109,1,1,2,63,13
58,201.96875,1035.31774902,1502225434.63,202.625,1035.31774902,1,1,2,63,13
59,201.4375,1035.31774902,1502225434.63,201.96875,1035.31774902,1,1,2,63,13
60,200.96875,1035.31774902,1502225434.64,201.4375,1035.31774902,1,1,2,63,13
61,200.640625,1035.31774902,1502225434.64,200.96875,1035.31774902,1,1,2,63,13
62,200.4375,1035.31774902,1502225434.65,200.640625,1035.31774902,1,1,2,63,13
63,200.3125,1035.31774902,1502225434.65,200.4375,1035.31774902,1,1,2,63,13
64,200.171875,1035.44287109,1502225434.66,200.3125,1035.31774902,1,1,2,63,13
65,200.171875,1035.65124512,1502225434.66,200.171875,1035.44287109,1,1,2,63,13
66,200.171875,1035.92224121,1502225434.66,200.171875,1035.65124512,1,1,2,63,13
67,200.171875,1036.17236328,1502225434.67,200.171875,1035.92224121,1,1,2,63,13
68,200.234375,1036.50585938,1502225434.67,200.171875,1036.17236328,1,1,2,63,13
69,200.703125,1036.77685547,1502225434.68,200.234375,1036.50585938,1,1,2,63,13
70,201.4375,1037.04785156,1502225434.68,200.703125,1036.77685547,1,1,2,63,13
71,202.296875,1037.23535156,1502225434.68,201.4375,1037.04785156,1,1,2,63,13
72,203.6875,1037.44384766,1502225434.69,202.296875,1037.23535156,1,1,2,63,13
73,205.078125,1037.50634766,1502225434.69,203.6875,1037.44384766,1,1,2,63,13
74,206.734375,1037.50634766,1502225434.7,205.078125,1037.50634766,1,1,2,63,13
75,208.46875,1037.50634766,1502225434.7,206.734375,1037.50634766,1,1,2,63,13
76,210.53125,1037.50634766,1502225434.7,208.46875,1037.50634766,1,1,2,63,13
77,212.515625,1037.17285156,1502225434.71,210.53125,1037.50634766,1,1,2,63,13
78,214.90625,1036.90185547,1502225434.71,212.515625,1037.17285156,1,1,2,63,13
79,216.6875,1036.6517333999998,1502225434.72,214.90625,1036.90185547,1,1,2,63,13
80,219.21875,1036.44335938,1502225434.72,216.6875,1036.6517333999998,1,1,2,63,13
81,221.078125,1036.44335938,1502225434.72,219.21875,1036.44335938,1,1,2,63,13
82,223.265625,1036.44335938,1502225434.73,221.078125,1036.44335938,1,1,2,63,13
83,225.1875,1036.44335938,1502225434.73,223.265625,1036.44335938,1,1,2,63,13
84,261.015625,1030.14855957,1502225434.84,260.890625,1036.44335938,1,1,3,63,13
85,261.015625,1029.29394531,1502225434.84,261.015625,1030.14855957,1,1,3,63,13
86,261.015625,1028.77294922,1502225434.85,261.015625,1029.29394531,1,1,3,63,13
87,260.953125,1028.56445312,1502225434.85,261.015625,1028.77294922,1,1,3,63,13
88,260.6875,1028.56445312,1502225434.85,260.953125,1028.56445312,1,1,3,63,13
89,260.421875,1028.56445312,1502225434.86,260.6875,1028.56445312,1,1,3,63,13
90,260.15625,1028.77294922,1502225434.86,260.421875,1028.56445312,1,1,3,63,13
91,259.75,1029.29394531,1502225434.87,260.15625,1028.77294922,1,1,3,63,13
92,259.09375,1030.08605957,1502225434.87,259.75,1029.29394531,1,1,3,63,13
93,258.234375,1031.33666992,1502225434.87,259.09375,1030.08605957,1,1,3,63,13
94,257.234375,1032.5456543,1502225434.88,258.234375,1031.33666992,1,1,3,63,13
95,256.109375,1034.00463867,1502225434.88,257.234375,1032.5456543,1,1,3,63,13
96,254.375,1035.98474121,1502225434.89,256.109375,1034.00463867,1,1,3,63,13
97,252.71875,1037.96484375,1502225434.89,254.375,1035.98474121,1,1,3,63,13
98,250.796875,1040.21606445,1502225434.9,252.71875,1037.96484375,1,1,3,63,13
99,248.671875,1042.73803711,1502225434.9,250.796875,1040.21606445,1,1,3,63,13
100,246.75,1045.11425781,1502225434.9,248.671875,1042.73803711,1,1,3,63,13
101,244.421875,1047.96972656,1502225434.91,246.75,1045.11425781,1,1,3,63,13
102,242.171875,1050.80444336,1502225434.91,244.421875,1047.96972656,1,1,3,63,13
103,240.1875,1053.47241211,1502225434.92,242.171875,1050.80444336,1,1,3,63,13
104,238.125,1056.43225098,1502225434.92,240.1875,1053.47241211,1,1,3,63,13
105,236.265625,1059.16271973,1502225434.92,238.125,1056.43225098,1,1,3,63,13
106,234.671875,1061.60144043,1502225434.93,236.265625,1059.16271973,1,1,3,63,13
107,233.015625,1064.12353516,1502225434.93,234.671875,1061.60144043,1,1,3,63,13
108,231.15625,1067.16662598,1502225434.94,233.015625,1064.12353516,1,1,3,63,13
109,229.765625,1069.41772461,1502225434.94,231.15625,1067.16662598,1,1,3,63,13
110,228.234375,1071.93981934,1502225434.95,229.765625,1069.41772461,1,1,3,63,13
111,226.90625,1074.58691406,1502225434.95,228.234375,1071.93981934,1,1,3,63,13
112,225.84375,1076.8380127,1502225434.95,226.90625,1074.58691406,1,1,3,63,13
113,224.859375,1079.15161133,1502225434.96,225.84375,1076.8380127,1,1,3,63,13
114,224.0,1081.40283203,1502225434.96,224.859375,1079.15161133,1,1,3,63,13
115,223.46875,1083.2578125,1502225434.97,224.0,1081.40283203,1,1,3,63,13
116,223.125,1085.38391113,1502225434.97,223.46875,1083.2578125,1,1,3,63,13
117,223.0625,1087.42651367,1502225434.97,223.125,1085.38391113,1,1,3,63,13
118,261.421875,1075.25390625,1502225435.1,260.75,1087.42651367,1,1,4,63,13
119,261.8125,1073.52392578,1502225435.1,261.421875,1075.25390625,1,1,4,63,13
120,262.21875,1071.79394531,1502225435.1,261.8125,1073.52392578,1,1,4,63,13
121,262.546875,1070.48071289,1502225435.11,262.21875,1071.79394531,1,1,4,63,13
122,262.875,1069.29272461,1502225435.11,262.546875,1070.48071289,1,1,4,63,13
123,263.203125,1068.29223633,1502225435.12,262.875,1069.29272461,1,1,4,63,13
124,263.609375,1067.22924805,1502225435.12,263.203125,1068.29223633,1,1,4,63,13
125,263.9375,1066.31201172,1502225435.13,263.609375,1067.22924805,1,1,4,63,13
126,264.203125,1065.37414551,1502225435.13,263.9375,1066.31201172,1,1,4,63,13
127,264.40625,1064.72802734,1502225435.13,264.203125,1065.37414551,1,1,4,63,13
